sentiment,title,body
negative,Fragile and didn't last 24 hours,"I hate to be so down on a product, but this treadmill broke the first time we used it.For the price, you'd be better off buying a stationary bike from a used sporting goods store. My husband picked this out, thinking he'd like it more than the electric treadmill (he doesn't like the noise, I wear headphones when I use it). But it was wobbly, he thought the wobbliness would disappear once he was walking, but instead it broke.Major disappointment."
positive,Great for young boys,This is a great magazine for young boys who have any interest in sports. My boys read and re-read it until it is falling apart. We now buy it as a gift for all their friends who are interested in sports and do not already get it.
positive,Ummmmm...gross,"This film has sub-par acting, poor production quality, and unsettling violence. Combined together they create a dark and eerie cinematic experience that is thoroughly enjoyable to a serious horror fan, not despite the low quality but because of it. It's not meant for mass consumption but if you are looking for a dim and grainy vision of terror this is the ticket."
negative,Trouble with a great Palm,"The Palm TX is an awesome idea. Unfortunately, the one I purchased from Amazon last week (June 06) was defective (severe flicker on the screen), and the replacement they sent me was also defective (screen will not calibrate to stylus). Although Amazon customer service has been excellent, I have to say I am pretty disappointed. I am going to try a third Palm, but I might buy it locally instead, to prevent (possible) shipping damage. I did buy a protection plan on the Palm - I highly recommend doing so."
negative,Filter doesn't fit,"I received the Brita filter as a wedding gift. To my surprise, the filter does not fit. The water just runs around the filter into the pitcher which defeats the purpose. I am very disappointed."
positive,A good look back,"During the tumultuous period of the 60s when author Dennis Smith wrote Report From Engine Company 82, the book was a cry for help from exhausted, frustrated men. Men who cleaned up in the aftermath of other exhausted and frustrated inhabitants of a society stretched to the breaking point.As I type this, a younger firefighter in a comfortable, air-conditioned fire station among a population that by-and-large respects my profession, it's easy to forget the sacrifice of our past brothers who unceasingly fought fires, city hall and the population they served, until they had forged the modern fire service.It's an important book for new firefighters to learn how the iron men of old did the job. And for the general reader it's a testament to both a volatile period in our nation's history, and to the timeless strength and courage by which good men have always worked to keep back the chaos of barbarism and destruction."
negative,The Seat of Your Pants,"I was very happy with Dancing Wu Li and looked forward to an insightful journey into our inner selves. Unfortunately, this book came up wanting. A few uncited William James, Augustine and eastern philosophy references, mixed with Jung and Thermodynamics does not show Zukov to have either the inclination or the understanding of philosophical thought that has come before. He provides no point of reference for his argument and no personal transcendent experience. In sum, a waste of money. More Karma is available with the astrological section of the newspaper. Don't buy this book and feed poor work."
positive,Great book,"I bought the book The Hiding Place because I had the lost the one I had. I greatly enjoyed the book. It is well written, and Historical. Her story is one that should never be forgotten. The book was in great shape when I got it."
positive,Good VCR,"I own two of the Sanyo versions of these VCR's. They were manufactured as the SANYO vwm-950, and the Sylvania 6260vd. I have had one of these VCR's for 2 1/2 years now, and one for just over one year. Both are working well, play great, with good picture and sound. I have them fed into my surround sound system, and it is excellent to watch movies with. I highly recommend this vcr for a low cost good output, and reliable way to play your old videos. 4 heads, stereo input and output, easy to set up and use. Check these out, good buy."
negative,A very ordinary effort,"This book does not take you through quantum computing in any logical way. The author does not explain where he is going with his lengthy examples in each section. Instead he tends to launch into hard to follow, artificially concocted examples with little rationale and then move to the next topic without a conclusion or a reason for why he put the reader through such boring experience. The discussion of the Bohr - Einstein debate told me nothing of what the debate was about and there are many references to the EPR without any real explanation of what was in it. There must be a better way to understand this subject else I will have to conclude that Einstein was right and God really does play dice. Give this book a miss... it is simply not worth the effort. Even my one star is generous."
negative,too big,maybe i have a small head.. i dont know. but these are ill fitting. glad mamazon gave me a refund.
positive,Great book!,"If you like Gordon Ramsay (or even if you don't know who he is) but think his recipes are too hard for a normal household cook, this book is for you! He takes some really simple dishes and makes them look like something prepared in a 3 Michelin Star restaurant. He has pictures to show how the dishes should look for presentation purposes and he's very succinct and to the point. He also takes more elegant recipes and makes them so it's food that we can do at home. Well worth the purchase!!"
positive,Enjoy it for fun or education,"Have you ever watched a movie that made you anticipate the next scene so much it gave you goose bumps? This is just that sort of movie. It is fast paced, exciting, historically accurate, fun, and educational.The Medici were among the ruling families in Florence, Italy during the Renaissance era. The ruling families made their own laws and everything, including murder, was legal. Learn how the Medici's rose to the prominence of the most powerful positions in Florence, while Brunelleschi created the dome for the Florence Cathedral.As an art historian I am always interested in DVDs to show my students. Many are not worth the time and money but this one definately is. It is one of the best I have seen."
negative,Description not true and quality is bad,"I purchased the item for my son for Halloween. The item is described as Boy's size 4-6. My son is 5 and he is considered small (about 3 ft and 2 inches tall) for his age but the suit fitted him just right. There is no way any six year old boy could have fitted in that suit. Secondly, the zipper was broken the moment my son put the suit on. The item is definitely not quality made."
negative,Not equal to The Summer Country!,"This book is the continuation of James Hetley's The Summer Country. This time around we barely ever leave The Summer Country, while in Oak's predecessor we visited the normal world quite often. The plot centers on Maureen dealing with the repurcussions of the death of Dougal and her battle with Fiona. During this process, Maureen falls into the clutches of her old friend, alcohol, which can't be good...I only gave this book two stars because only the last fifty pages are worth reading, the rest of the book drags ON and ON. This will be worth the money for fans of The Summer Country but everyone else would be best advised to stay away from this book! Hope that helped.-Bohema"
negative,@#$@Y%#,"because humans make movies like this, we would be prime for aliens to come use us for target practice. my goodness, i thought my eyes were lying to me.this movie is like smelling a nasty azz fart with your eyes.I quote my sterling review of battlefield earth as it directly is applicable to this piece of cr@p:""if aliens ever attacked earth, we could show them this movie and they would leave. ""nuff said."
negative,Junk,"This movie was completely idiotic. The entire idea of the angels not being able to feel was mishandled (see the ""What does a pear taste like?"" scene. How is someone who could never taste supposed to know what ""sugary sand"" tastes like? But Cage's character just nods. Terrible.) The ""plot twist"" was ridiculous. And yes, the angels do look ominous. Meg Ryan was miscast as a heart surgeon. This is simply not worth watching. However, as a result of this crappy movie, I have been introduced to Wim Wender's version, which I will check out as it sounds far superior. The one star is for that."
positive,heart rate monitor,"I am an older road biker and have been climbing some long hills. I was concerned about my heart rate.I didn't want to die trying to stay healthy.The Omron HR-100C had good reviews and was well priced. I like the mounting bracket that fits nicely on the handlebar. I've been using it now for a couple of weeks and it works pefectly. I wet the heart sensers for good contact. This might not be necessary because i'm sweating after awhile anyway.By the way my heart rate tops out at 140, so I guess I'll keep on living."
negative,Joe Dirt,I would give this no stars if possible. One of the worst movies I've ever seen. David Spade proves not only that he was the least talented cast member while on Saturday Night Live but also that he can't make a funny movie without someone to carry him (Chris Farley). Save your money. Not funny at all; I could barely sit through it.
negative,Not molded correctly,"I bought Husky Liners for my 2012 Nissan Frontier Crew Cab. They appear to have been molded for an older model or something because they don't fit. Example is the ""pedal"" on the left side of the drivers side. It creates a big lump under the mat which does not accomodate that. The mat is molded for a flat space. Perhaps the mats were molded for a manual transmission? Not sure. But they just don't fit well."
positive,A must listen to by all to improve yourself and others,"This audio is for everyone, who wants to try to understand people, especially your spouse and children. I have listened to this five times, and I am still learning, as this tape gives examples with other people in the audio that makes it quite interesting. One situation was when both people were in love, got married then turned around to only be a one sided love. Gary Chapman coached the one person and helped two, and understanding that each of us has things, we love more than the other does. We have been married for forty-six years and I found out how to make it even better, with listening to this tape. The best!"
negative,"Too glossy, no meat","I was expecting a little more substance from the book, perhaps some deeper examples and some better analysis and dirt and gossip from the wackoes that ran these dot coms, but the book was no more than a listing with a blurb at best on a whole stack of companies that went under. The blurbs were funny to read at first, but get old and dull pretty fast, and the whole thing ends up being a fun read for no more than 10 pages. It's a shame, I would think there's a lot of good dirt to dredge up and write about, and I was hoping this would touch on that, but it doesn't. I would skip this one."
positive,THIS DVD FREAKING ROCKS!!!,"Jillian is the real deal people! I've done this dvd twice so far, and I feel the difference in my body. I love this so much becuase Jillian has you all over the place with core strengthen and cardio wrapped up into one. I have neck pain when doing certain ab excercises, but this workout didn't aggrevate my neck at all. You will not get bored while sweating your butt off. My stomach is the last frontier of getting my body into shape, and working with Jillian will make it happen. The best part of the DVD was at the end as she talked to you during the cool down. She really made you feel proud of yourself, and wanting to work even harder next go around.I'm on level 1 at the moment, and can't wait to see how challenge level 2 will be on week 4. I was always skeptical of her on the Biggest Loser, but now I'm a true fan :-)"
positive,I hate it but I love it!,"It is my first John Grishams book. I get the book from myAustralian co-worker when come to US for a meeting. Thisbook turns me into a Grishams book fan overnight.The book is easy to read but hard to put down. It forcesmy hand to into a page turning machine. The characters inthe book can be found in real life. A kid, father, lawyer,judge, black folks, KKK members and journalists, all runinto each other life and create all the tensions and loves.It is a good book to read but you will hate it because itstop you from doing everything else."
negative,The Mind: Its Multiple Projections & Multiple Facets,"I wasn't too thrilled with this book. I'm not into early morning meditations or into crazy diets. It might be great for anybody else, but I did not like the book at all."
negative,CHINESE JUNK,THIS IS NOT THE CAN OPENER YOUR MOTHER HAD. THIS IS A CHINESE KNOCK OFF. WORKED FOR ABOUT 6 MOS. NOW THE SOFT METAL GEARS AND CUTTER WON'T OPEN CANS. WE USE THIS IN A HOME KITCHEN AND IT HAS NOT BEEN MISUSED IN ANY WAY. I HAVE 2 OF THE HAND HELD CAN OPENERS BY SWING A WAY THEY ALSO SUFFER FROM METAL FATIGUE. THEY STILL WORK BUT NO BETTER THAN ONE FROM THE LOCAL GROCERY STORE. THEY ALL STARTED OUT FINE BUT THE CHEAP METAL SOON GAVE OUT. BUYER BEWARE!!!
positive,Great Book,This book was a quick read but very interesting! Before I was never interested in circuses but now I am! Enjoy the show!
positive,This was one of his best,"Lewis is at boy-scout camp while he has left Rose Rita home by herself. So Miss. Zimmermann takes her on a road trip. As they go through a tunnel, they go to a different world!"
positive,having a spare saves the day,"I travel a lot so I need to take a charger with me; on occasion, I've either forgotten it at my host's house or even misplaced it entirely. Having a extra charger helps me avoid the dreaded dead battery in my dog's training collar - now I can leave one charger in one outlet at all times.For the occasionally absent-minded pet-mom, this spare is an absolute essential."
negative,Corn Flakes with a Twist,"I found this item while searching for Granola and Berries and looked forward to it's arrival. However, I was very disappointed with the abundance of corn flakes. Like other reviewers the amount of granola crumbs is disheartening too. The Triple Berries are yummy and I would have enjoyed this WITHOUT the cornflakes. There's too many cornflakes to pick out...yes the thought crossed my mind!"
negative,Painfully boring....,"I won't be redundant and restate what my fellow reviewers have so eloquently stated about the snooze factor inherent in this book. However, I will give kudos to Mr. Clancy for taking care of my occasional insomnia. Ten pages of Red Rabbit puts me to sleep faster than any pill ever could. Thanks Tom!!!Don't waste your money. There are many authors that have become much more capable than Clancy. I just read Wings Of Fire by Dale Brown and could not put the book down...fantastic!!"
positive,An exciting talent.,"SELF HELP is a collection of short stories focusing on lost love and infidelity . Brilliant imagery and cleverly manipulated semantics dominate.Narrative is neglected, but not really missed.Each piece must be slowly savored, and carefully parsed.My only reservation is the ever pervasive cynicism and hopeless view of human relationships.Perhaps Moore's other work will have a wider range and more optimistic outlook. This is my first taste of Moore."
positive,Good Product,This DVD was recommended by my sister and I can say that it really hits the mark. I use this when I'm on business trips and it is great for a change in pace.
negative,A WASTE,"The cleaance price ""told"" me these would be ""dated"". However, I did NOT expect to get totally scentless GARBAGE."
negative,Needs to be fixed,"I'm on my second pump and it has failed too. The problem with this pump is that the rubber gasket that protects the motor fails. It's not sealed properly and water will get inside the electrical parts. Once this happens, your GFI and/or circuit breaker will trip and the pump will turn off. I took apart the first one and found this out. I dried it out and plugged it back in. It worked. I then used aquarium sealant and sealed the motor from getting any water inside. I now have 2 pumps that work since doing this. They told me to throw away the first one. This pump would be 5 stars if it didn't break so quick. All they need to do is seal the motor better and it's a great pump. It may last 6 months at most before the gasket fails. I've had it running for 2 years now after fixing it and I have a back up waiting if it does break."
negative,don't be fooled by the wahl name here,"I decided to try out something different from the Philips Norelco, and decided to go with another good name brand, Wahl, or so I thought. This thing should be pulled from amazon. The attachments are crap. Thin cheap plastic, hard to put on and take off. I had to pry it against the counter top to get it to come off. The multi height attachment is poorly designed. With a curved head design depending on what angle you hold it at, it will cut different lengths! Despite all this, the trimmer it self pulls at your hair. I couldn't get through one trimming of my goatee with out it painfully pulling my hair over five times in two minutes. I sent it back. I got the Philips Norelco T980 Turbo Vacuum Trimmer, this thing works wonders!!! Just want I wanted from a trimmer."
positive,I love this book,"I love this book and have bought it as a present for many special friends one of whom started to use it as a teaching aid for young children learning French. At Christmas, it's a great stocking stuffer. I have a copy on my desk and a few spares in a drawer to give visitors who become enthralled. You don't need to be a cat lover. My own view of cats is that they are a species with what Americans call, 'lots of attitude'. Churchill said that they looked down on all humans whom they consider to be their servants. I have had many in my life and my present cat has more attitude than most."
negative,Jack on the tracks review,"What could have been a funny story is severly marred by the author's twisted sense of humor when it comes to the killing of animals. Three times, Jack's cats are killed, due to his lack of responsibility, and each time the author wants us to laugh it off. It's just not funny. It's too bad, because otherwise it could have been a funny book that kids would enjoy and as a Librarian, I would enjoy recommending. But, I can't keep on the library shelves a book that takes the death of pets so lightly."
negative,More effective than counting sheep!,"The only reason I'm giving it two stars instead of one is because Orlando Bloom and Liam Neeson (sp?) are good actors. It's the story that sucks. Maybe the story is true, maybe it's been embellished ... I wouldn't know because I'm no historian. But I do know that I could barely keep my eyes open. It was torture to watch it. I finally gave up after an hour."
negative,Not Comprehensive,"The fundamental failing of this book is that the methods of restoration described in the text require a significant degree of skill to master (French Polishing, Hammer Veneering with hide glue, cabinet-making skills, et al) thus making the text exceedingly schizophrenic. The book assumes that the reader is a neophyte, but anyone who has already mastered the rudimentary skills needed to complete one of the projects given in the text would have no need to purchase the book, as they would now be self-reliant. For someone just starting out, a better learning resource is Brian Hingley's ""Ultimate Guide to Furniture Repair and Refinishing"" which gives step-by-step accounts of the process. Furthermore, the photographs of the completed projects are so poorly photographed (hidden in shadows, or a close-up shot) that one cannot ascertain if the restoration has been a success."
negative,cheap junk,this is the biggest peice of crap.the spring on the unit is made of none spring metal and lost tention right away. buy another arrow rest.allen company sells toy quality stuff not made to stand up to any stress of use.
negative,cheap cheap cheap..........,cheap cheap cheap..........VERY thin would never buy again...Men's Powder Blue Dress Shirt w/ Convertible Cuffs sz 17 1/2 34/35....can't recommend!~
negative,file cart,The size is perfect. The product itself is unstable and wobbly. The base clips fall off. This is not a mobile cabinet that I will use long term due to the instability.
negative,Ecstasy can Kill You,The only reason I have this Avant album was because my sister bought it ( without my explicit authorization and consent....from now on all her music purchases go through me so maybe she will stop buying horrible albums) and I burnt it. Thank goodness I didn't waste my money on this...this...on this. It was so much garbage...the only good song ( in my opinion) was the one he dropped for the single and I don't even know the name of it. He can sing but that's about all. That doesn't guarantee a good album. I've listened to the cd probably twice when it came out and has been collecting major dust in my extensive myriad of albums. If I was you I would pass the album going 200 miles per hour without even bothering to look in the rearview mirror.
negative,"Pretty voice, not much else","Inessa Galante has a lovely voice. Unfortunately, her delivery leaves much to be desired. In other words, while most of these songs are nice, and Galante sounds okay singing them, you can find always find better versions. Particularly the Jewel Song, Caro nome, and Sempre libera are entirely unsuited to Galante's heavy voice."
positive,Pretty Decent but typical,"the fight scenes are great but we've seen the moves before. the acting is satisfactory but the girl who play (i think the character is Karen) her acting was really good. Overall I give the movie a B, just because I like action flicks. . ."
negative,Disgusting!,Me and my girlfriend wanted and needed to lose weight. We decided that she would take ALLI and I would just eat a low fat diet and exercize with her as ALLI reccommends.The results: After 1 month I had lost 6 pounds and she had lost 4 pounds. We both did the exact same thing besides she took ALLI for a month and I didn't.The kicker: She was miserable and was finshed with ALLI after the end of the month. This because of the continuous gas and oily discharge that happened if she ate the slightest bit of fat. It was absolutely discusting to think that people would endure these side effect for that little bit of weight loss.Not to mention I won! How'd I do it? I exercized 3 times a week by walking and riding a bike and I ate sweets only on Saturday. I cut the starches & sugars and cooked with olive oil plus ate wheat bread for sandwiches.Summary: This pill isn't worth it! You're making ALLI rich while they laught at your bathroom difficulties. It's like a sick joke!
positive,Sark is amazing...,"I picked up this book a few years ago when I was going through my divorce. It was one of the lowest points in my life. When I started to read this book, it empowered me to be who I really am...not what others think I should be. I still have the book in my nightstand and pick it up and read some of it when I'm not feeling great about myself. I think every woman should read Sark....especially this book. Every woman should feel succulent!"
positive,"good memories, good movie!","I grew up watching The Buttercream Gang. My siblings and I watched the VHS tape about a hundred thousand times. So naturally, when I found it here on DVD I was ecstatic. Great quality. Can't believe it is on DVD. Not only do I recommend this seller, but if you have not seen this movie, do yourself a favor and check it out. Young or old, it reminds us that we can all use a little cheesy, heartwarming storyline in our worldly, overstimulated lives!"
positive,"The kid's love it, storage is poor.","Well, I just had to have this kitchen. And overall, it is fun and Step2 definitely makes good products. I've had this for over a year. My complaint is lack of storage. The storage areas (for foods and ""pots/pans/cups"") are extremely small. All of the cabinets (including the oven/microwave) combined wouldn't hold the amount of items that 1 small cabinet in one those wooden kitchen sets would hold. So overall it's nice and sturdy (both of my kids have climbed all over it - without permission mind you) and it's held up well. But if I had it to do over again, I wouldn't b/c it's so big without the storage (and we don't have a playroom)."
negative,"An unintresting,dull look on panoima","Enemy of the State is boring, and has an uninresting story and dialoge. Some good acting by Regina King. But the plots were over to long and there was no fun just watching the film, and plus the thrills were worthless, it was like going to a store and on to home. Thats what this movie shows. And I have to admit it there was some good things I liked, like when Will Smith runs off trying to get to his home to tell his wife that someone is after him,that was a good scene. But overall the movie isn't worth seeing, but that's my opinion. C- **"
positive,Cool indie horror flick,"I prefer my horror flicks indie style. Get too big budget on one of these and it starts to feel convoluted. Anyway, I dug this. I've got a huge horror collection and I will rewatch this with my buds."
negative,The Greatest Television Series EVER: CENSORED!,"The Fall and Rise of Reginald Perrin was simply the most inspired, profound, brilliantly written, and painfully truthful series ever to find its way onto television. This was something rare...TV for smart people! Chaucer would have loved this, and Shakespeare would have stolen plots from it.I happened to have been in London and saw Leonard Rossiter on stage in Loot a few nights before he died (during a performance.) He was a great actor, and in PERRIN was supported by a brilliant cast. The humor cut to the core of society's hypocrisy unlike any other show, before, or since, and was a weekly beacon of hope for the jaded cynics whose senses of values were daily buffeted by this maddening world.So what does the modern day Inquisition do? It's been PC sanitized for our protection.END CENSORSHIP! DON'T BUY THIS. DEMAND the original in its full anti-social glory."
positive,Book review,"Fast service from book store. So thank you for that!However, the book itself was a let down. It was reviewed favorably by publisher, but i thought the book - a collection of essays about my favorite subject (botany)- was a bit boring. It could have been a show stopper of essays written in vivid prose, but instead it just left me flat and uninspired."
positive,Practical Techniques for Change,"I expected much more from this book , however there were some very practical techniques that were useful for living successfully."
positive,Great maker for the price,"This is a great coffee maker for someone looking to spend under $100. I thoroughly researched coffee makers in this price range and settled on this one despite the negative reviews.1. This maker is easy to use and easy to clean.2. The lid on the thermos is hard to twist if you tighten it too much. Simple solution: don't tighten it that much.3. The carafe is excellent and keeps coffee piping hot for two hours; it is still hot enough to drink without microwaving four hours later.4. The design ensures that the coffee never sees the light of day as it is brewing, so your coffee remains hot.5. I'm not sure what temperature this brews at, but it seems to be hotter than other machines I've tried in the price range.In all, this is a good coffee maker for the price."
positive,Very good listen,"I listened to the audible version and enjoyed it very much. The accent of the performer lent an air of authenticity to the book that I enjoyed. Liked hearing about the mans life from his own point of view. Will follow it with a less biased version at some point to see how they compare, but this was very well written and well performed."
positive,Ricky Carmichael championship Motocross,"I gave this game a four because it does not allow the user to create their own tracks and it does not have real bikes. For instance, they should have Yamaha, Honda and Suzuki, but they have Hamaha or something like that. I think the game play is GREAT! I find myself playing this game over and over again. Allowing users to create tracks would add to the longevity of the game. In my opinion, this game has the best game play of all the motocross or supercross games out there. If you rent this game, you will end up buying it."
positive,Once in a lifetime,"Where to start. I was fortunate enough to be able to actually be at this Wrestlemania. Have to say it was Excellent! One of the best Wrestlemania's ever. My two favorative matches were Cena v Rock and Triple H v Undertaker (definitely the best match of the night). Definitely a ""once in a lifetime"" experience. The extra's are cool too. Also includes the Hall of fame induction ceremony in it's entirety. Definitely worth buying."
positive,A First Class Shaving Gel,I find this gel to be superior to the foamy Gillette product. It easily worked into a good uniform foam and I find no reason for a change to another product.
positive,Oliver Review,Rozz Williams make a great project in the area industrial noise.A brilliant work!Listen this album!I think this is magnificent!
positive,I'm happy with my paper,"The paper arrived as described, was a great color. Much cheaper (about 30% less even with shipping) than the smaller reams available at the local Office Depot."
positive,"Great design, discrete, great for Dad!","Love this diaper bag. All the essentials for a quick trip anywhere. I throw it in my hiking back and take my little one hiking with me, good for a half day trip. Throw it in the truck anytime she is around. Its black, discrete, and extremely functional. Love the changing pad.... comes in very handy. Can't say enough about this."
positive,Ditto--Great Phone,"Kudos for this phone!The Micro SD included fills up pretty quickly, where about tweleve songs filled it up. The micro SD comes with an SD adapter and I bought an SD/USB adapter at CompUSA for about $10.00 and they work great, just like any another expandable memory stick. Songs loaded on the Micro SD need to be placed in the Media folder or the phone won't recognize them.Battery is good considering what the phone does. I purchased a back-up battery for $30.00 plus S+Tax but the phone didn't recognize it and wouldn't work. So I returned it and bought an original battery for about $35.00 plus, and it works great! Better than the one that came with the phone, although they both work fine.The phone functions work fine, pretty standard stuff."
negative,meh Four Paws used to be higher quality,"I wanted to love this brush - I have an old Four Paws brush that ""somehow"" ended up with the handle chewed off. the old brush was my favorite for my tender skinned aussie - and I had it for about 8 years.this new brush is plastic handled instead of wood - which is evident from the picture.The big problem with the new style is the little black safety ends are breaking off the pins after about 2 days of use. this leaves little sharp pins - making my pups & me unhappy."
positive,Students and Business should read,"I enjoyed reading this book. I think the author raised some good points and the book itself could help a small business owner understand how the business landscape is evolving. The author uses some case examples on how other businesses have implemented a co-creation process. These examples are now a bit outdated however, they are current enough to reinforce his point. At the end of the day the author's point was communicated well and easy to understand. If you are looking for a quick read that can potentially increase your understanding of how business is conducted then I would recommend you give this book a shot."
positive,C.K is Hilarious,"Louis is such a great stand-up comedian who has excelled since the early days of his career. I have a young daughter myself, and I am experiencing the same situations in my life. In addition to the use of word ""faggot"", the health problems, ...etc.He keeps me in-check and locked in.A great item to own & watch with friends!"
negative,You Are Not Needed Now,"There are some great names singing great versions of great songs here, but when all is said and done I heartily recommend you get your fingers dirty with the real thing. Let LIVE AT THE OLD QUARTER or REARVIEW MIRROR be your introduction. This guy's like a cross between Hank Williams & early Leonard Cohen. Needless to say, he was not afraid of the dark.Like the cheesy cover of POET, this star studded tribute (whose heart is in the right place) is just a white-washing of the crooked, meandering fence Townes set up between Nashville and what has come to be known as ""Alternative Country"". In short, the originals kick the guts out of any the cover here.It certainly isn't a bad record, but who needs a new car when the old jalopy runs just fine."
positive,Great Cast,"This was another good movie by Christopher Guest. I love this cast, especially Catherine O'Hara 's character. Recommended, especially if you enjoy Guest's other movies 'Best in Show' and 'A Mighty Wind'."
negative,How Children Fail,Our opinion about John Holt's book is very two sided because he talked mostly about what he observed in his own way about students. John Holt was very pointless on many occasions about what he was writing about in How Children Fail. Why couldn't he write something positive about children on why they fail? Some children have different learning styles and that's why some fail. The book in our opinion needed to have a different topic and have some other meanings to it because he never talked about what type of things that children can do to make them stop failing and what type of teachings that they can get.
negative,Not so pro lens,"I am not impressed with this lens. The 100-400 is just as sharp as the cheaper Canon 75-300 lens. The other thing that bugs me is when using the 1.4x with the 100-400 is...you have no auto focus. Yet, if I put a cheap close up tube on the 100-400 I have auto focus. Go figure. For the money that one pays for this lens and 1.4x you should get auto focus and a shaper image. I've used Canon for years starting with the Canon FTb and F-1. The cameras and glass, in my opinion, were superior then. It makes me want to switch to Nikon or Pentex."
positive,Ooooh pretty,"I love this ring, its stones are super sparkly and the detailing on the side of the setting is exquisite."
negative,Not the same as stores,"I have bought multiple versions (i.e. color) of these jeans over the past six months or so at different stores. When I got the pair of jeans that I ordered from Amazon, I found that they fit tighter than any that I bought in the stores - mainly in the crotch area. I could not really tell that much of a difference between the fabric. I returned them to Amazon and just bought a pair at Dillards."
positive,Love this movie,"It's a good movie, that's why I bought it. I only give it 4 stars because it had a couple scratches. It plays fine though"
negative,Pass on this one...,"I compared many items online looking for a portable FM tuner which I have come to rely on with my Nokia phone while dog walking every day. I bought this to take the place of my new phone without an FM tuner. Very disappointed in the sound, size, ability to lock in stations, nothing comes in on TV tuner at all, and the buttons to move to favorite stations are goofy. If this was a $25 item I would say it is worth it but not at this price. After I bought it, I was at Target and saw many options that were actually MP3 Players with FM tuners that would have worked as well for less money even though I don't own any music to download! Live & Learn. No complaints about the vendor that sold it to me though, they had the best price out there."
negative,Gone in under ten minutes,"While my dog enjoyed this chew very much, he devoured the whole thing in under ten minutes. 40 pound Australian Shepherd that I would not describe as a particularly aggressive chewer, finished the 'average' says much faster than I expected. I thought the material would be harder and more difficult for them to break off pieces. It's probably great for small dogs, but too much money for something I wanted to last for much longer."
positive,kindle is great for rec'g books instantly.,the more i use kindle the better it gets and the more i increase my knowledge of its splendid offerings.
positive,Awesome Tires. You have my recomendation,"Great all around tire. Good for MX, cross country, and the more intense stuff. Not to mention they look great too! A+ in my book!"
negative,For collectors only,"Baseball Games is a very basic effort: the captions give minimal information, the pictures are just satisfactory, and there's no narrative to put the games in any context. And the price is outlandish !"
positive,Great fantasy and very entertaining,everyone that reads this book will instantly become attached and will never be able to put this book down!
negative,An Embarassing Report,"This book explains why it took so long to catch the sniper from the last paragraph on page 221 through page 223. Incompetence. The rest is a lot of whining by Moose. On page 226 he complains about how ""inconvenient"" it is to change out of uniform before going home although that is not required. Later he admits he was stopped for speeding and that his wife has been stopped multiple times! Great behavior for a chief of police. He is ""victimized"" by racial profiling. Hey so is every black person in this country. On page 288 he says Bush made a congratulatory phone call on the capture of the snipers. Moose whines that Bush should have made a personal visit. He left his job so he could write this book. Maybe that's a good thing. I must get the Horwitz book now to read the real story."
positive,Universal lid - dimensions,"Reasonably good quality stainless lid. For those needing dimensions, they are:Overall outside diameter: 12 3/8""Diameter inside rolled edge: 12 1/8""Diameter across dome: 7 3/4""Height of dome: 1 1/2""So, the largest pan this lid will work well on is, say, 12 1/16"". Beyond that, the rolled edge will prevent a stable fit."
negative,starts out slow,"Could not keep my interest. Starts out slow, boring,to much discription not enough story. I read fall on your knees and that was a good book."
positive,Hey Digimon!Hey Digimon!,"It was a pretty cool book, but I warn you-there are bloopers!Especially if you watch the show, you'll notice everything wrong in this book.There is A-LOT of things they messed up on.Well any how, this book gives info on Digimon you never knew. A great book for the Digimon fans."
positive,Tepid but has potential....,"The first few episodes have been a bit ""tepid"" but based on the excellent 1st and 2nd seasons and the great potential set up by those seasons and the great characters, I, with hope, grant it 4 stars. The reality has yet to be determined!"
positive,My baby grandaughter's favorite Xmas toy !,"My 9 mos. old grandaughter just had her 1st Christmas ! She rec'd more-than-enough toys from family & friends BUT she loves the Tolo toys the best. This one seems sturdily-made and is 'fun' even for the grown-ups ------ that is, if you can get the baby to 'share' !"
negative,Bad Experience,"I bought the H500 headset and it was TERRIBLE! It had so much static you could not carry on a conversation! When I took it back to the cell phone store I was informed by the salesperson that they had sent back all of their H500's because of the static and unsatisfied customers. I purchased an H700 and LOVE IT! There is no camparison! Don't waste your money on the H500, mine went in the trash!"
positive,Exceptional educational game/toy,"I purchased Leapster for my grandson for a dual purpose - educational and game. It makes him think he has a Gameboy but he understands the difference. He has gone through one set of batteries since Christmas day (2 1/2 days of use). I'm looking for another source of power to cut back on the batteries. He is totally mesmerized with this toy. He is ADHD and needs to have things moving, changing and interesting to keep his attention, boy does it ever. Thanks Leapfrog for another great idea. More games and accessories would be great also."
positive,Do you like dresses? This is the book for you!,"The book I read was The Hundred Dresses by Eleanor Estes. It was about a girl named Wanda who was shy and got teased. Diversity means Difference in language, dress, food, where parents and grandparent were born, and race, religion, are not only allowed but accepted as important. Diversity happened when Wanda moved here. She had a different language, she dressed different and she had no money. I liked this book because it is about how people don't like to be teased."
negative,Waiting for Extended Editions,"No way I am letting the studios double dip again. I already did it once for the DVD versions, but not again. It's a real shame because so many people have been waiting for this Trilogy on BluRay. I really hope they reconsider and release the EE at the same time, or even better yet add it to these disks and release it bundled together. This theatrical only release and a possible 2 year wait for the Extended versions is a monumental disappointment."
